gene,logFC,AveExpr,t,PValue,FDR,B
NSUN2,-0.20381600825435411,7.998290413592156,-2.8562355494631757,0.01581305689451754,0.09075271259926697,-3.8019873484858073
ARHGEF3,0.22929159258437096,8.115856618186937,2.855639960203267,0.015829816342496545,0.09078828278298956,-3.803035519923936
TMEM212,0.5346034978776403,2.5984005048121435,2.855619960990155,0.015830379414311254,0.09078828278298956,-3.8030707158340977
DDX41,0.22045461140544234,8.73224261611206,2.854266186995478,0.015868541172461618,0.09097517703439358,-3.805453099264099
MYL6B,0.6352325308368474,3.5335840074290132,2.8538886282233724,0.0158792006554858,0.09100432341953625,-3.8061175038716377
SLC25A13,-0.4441220988997136,7.218134326474884,-2.8530352216537422,0.015903321002868544,0.09111056700906296,-3.807619233099624
PRDX2,0.21426984394881832,7.9869868154182715,2.8527997251608745,0.01590998343820698,0.09111675427312783,-3.8080336229347242
ASPM,-0.5041746854023373,4.1265606800989625,-2.851691633296184,0.01594137000965773,0.09126448309282129,-3.8099834083242023
CRYZL1,0.3230582060161842,6.34821225750281,2.8486587566251265,0.01602759323255443,0.0917259385490019,-3.815319504929634
VGLL4,-0.34085998911380566,6.27609784521821,-2.8479020679962392,0.016049178188750058,0.09179980969732951,-3.8166507175125037
DSG1A,0.6181313552489411,3.6481958606393174,2.8478119919517324,0.016051749594178315,0.09179980969732951,-3.816809181589984
UBL7,0.18149393214983775,9.104111376458949,2.8475991976650894,0.0160578258813066,0.09180239370742077,-3.817183532051557
SPCS3,-0.19544097049005785,9.425581198298962,-2.84601671977108,0.016103085412118617,0.09202890759684876,-3.819967329237965
ILDR2,-0.7039125969190463,1.9405274717350631,-2.8453382063216854,0.016122530264370282,0.092088040286262135,-3.821160864025866
NXT2,-0.30909022863246616,6.383471304915767,-2.845261978135083,0.016124716280978873,0.092088040286262135,-3.82129495032618
CLINT1,-0.17527026000460824,9.466716965253312,-2.843712275585617,0.016169221890343612,0.09230968195214165,-3.8240207900858807
TTC39B,0.41890389405198875,4.573353887389298,2.8435170567462396,0.01617483705324869,0.09230968195214165,-3.8243641547428795
ZFP462,0.6276331707009319,4.490557681707803,2.8406758799147127,0.016256780221569008,0.09273010131665953,-3.8293610526153503
PNRC1,-0.28974983790997955,6.17773233650163,-2.8405691320649518,0.016259867048663126,0.09273010131665953,-3.82954878124787
GZF1,0.28463410510088544,6.64209027638441,2.840313015469601,0.016267275562594347,0.09273576615990758,-3.8299991884168403
MSH3,0.3178902419682584,5.878548435343623,2.840123277049497,0.016272766176898906,0.09273576615990758,-3.8303328591955887
C1QL1,0.5874722514156425,2.376598794808389,2.839945743631489,0.01627790528416464,0.09273576615990758,-3.830645063691153
LIPA,-0.14564204292626365,12.380044253361355,-2.8388398055181945,0.016309955751966067,0.09288593781702377,-3.832589870045342
TRADD,0.37358998541287053,6.519698597935376,2.8363595885550463,0.01638206301998509,0.09326405044024995,-3.8369509832495576
MED31,0.6115652512960653,5.997775685300473,2.835988184828682,0.016392888245427176,0.09329313875239274,-3.837603999107586
CCNL2,0.22327194742941625,8.402797196951957,2.835733166735917,0.016400325346350882,0.0933029314406201,-3.838052374538672
HDAC10,-0.4652678152899852,5.899725235204901,-2.835263433898135,0.01641403301460502,0.09334837869839133,-3.838878248978034
PTPRM,0.44602516289644323,4.816564073594883,2.83503958663086,0.01642056932064213,0.09335302419070737,-3.83927180586323
HDAC4,-0.2739605415450662,7.0544951438308585,-2.834491454334331,0.016436585694356652,0.09341154307217593,-3.840235485937976
VMN2R27,-0.3783512003583888,1.391641338144288,-2.8334101140371897,0.016468228185274842,0.09355879583712355,-3.8421365312664153
GPR146,-0.28901813099281665,6.525371269072108,-2.8298162357505725,0.01657383162602157,0.09412598462071123,-3.848454002418937
GTF2A1,0.18233883014382088,9.301041567678215,2.829449554559479,0.016584644277237583,0.09415463091932932,-3.8490985067184895
TBCA,0.37220406599698885,7.038510427540802,2.829104682367299,0.016594820263737778,0.09417964406979416,-3.8497046672530186
TMEM218,0.33254232367598086,6.107831508209372,2.827897282361801,0.01663049567792925,0.0943493049896285,-3.8518267573162093
BMF,-0.35204990884653437,5.431207361766718,-2.826694319109153,0.016666116255497587,0.09447632075528828,-3.8539409218333924
TIGIT,0.4491903736904709,1.9680565344278849,2.8266692794796087,0.016666858506131726,0.09447632075528828,-3.853984926722305
PEX12,-0.38724913729138255,5.613286981093379,-2.8265549170697857,0.016670248975323505,0.09447632075528828,-3.854185907631249
NAPEPLD,0.47638559840840033,6.39844970821702,2.826115437157329,0.016683284526226548,0.09448626115854933,-3.8549582404464036
IKZF3,-0.8357516604537534,2.388166494612944,-2.8259550944130916,0.016688043039222698,0.09448626115854933,-3.855240019180942
MAP2K4,0.21647584843429943,8.104403057847037,2.825910402161287,0.016689369618925236,0.09448626115854933,-3.85531855881922
TRAF3IP2,0.3566581709595794,6.002494664257251,2.82513337612363,0.016712450584890303,0.09458412567495823,-3.856684032194512
ID1,-0.6233598185782233,4.745611616015973,-2.8220499668182177,0.016804355871771377,0.09507129862705456,-3.86210200009719
AMIGO3,0.5536589537176266,4.540460554160919,2.8217274658978253,0.0168139975927095,0.09509288590027874,-3.8626686288885312
TGOLN1,-0.4012595953081524,6.858352971379582,-2.821041103506075,0.01683453598915309,0.09515119883778417,-3.8638745252573594
MTAP,-0.40350307274783254,6.774493068292217,-2.8209932943154157,0.016835967543408936,0.09515119883778417,-3.8639585214813024
WWP2,0.2275772765012427,8.177846168985134,2.819736800805752,0.01687363447205053,0.09533107021557934,-3.8661659880597603
GP5,-0.4497706414056492,5.462052002799048,-2.8193700943808384,0.01688464339716383,0.09536025935242494,-3.8668102082821196
WDR6,-0.6476565680303145,4.181097738225093,-2.819124407176802,0.016892023209110745,0.0953689390588397,-3.867241818332898
FAM89B,-0.2681859290718451,8.899150801488299,-2.817353384385656,0.016945315627726564,0.09562513658991145,-3.8703528944939602
RTN4R,0.46650504869523973,3.7997101642833813,2.817131614705645,0.016952000796237328,0.09562513658991145,-3.8707424473247714
THOC3,-0.260990717160562,7.968121985548296,-2.8170328903256645,0.0169549776553856,0.09562513658991145,-3.8709158616684722
B3GNT2,0.28086434879139976,6.448806527714021,2.8147167571265665,0.017024966625355957,0.09598670302558202,-3.874984012010782
CORO1C,-0.3223873495279163,6.67532049179531,-2.8142423454253582,0.01703933798911356,0.09603455616654404,-3.875817227642426
PANX1,0.4017151610446043,6.701997153986095,2.813941402077489,0.017048460754508065,0.09605280512084247,-3.876345767815527
DLG4,0.36376720799312506,5.382840190959709,2.8124660567773856,0.017093254865346914,0.09625225842044055,-3.878936764259514
NR2F1,-0.5630950871594331,2.7205259761208382,-2.8123870819094257,0.017095655995641293,0.09625225842044055,-3.8790754540257133
I830077J02RIK,0.25239167731945267,8.58128083364867,2.81075697116688,0.017145292758808554,0.09644766908548633,-3.88193800463014
MERTK,0.22134133061476766,8.471633740800645,2.8107408766631035,0.01714578355239272,0.09644766908548633,-3.881966266109789
MYL12B,-0.17889126864931412,10.422232692821298,-2.8106652264064707,0.0171480906559295,0.09644766908548633,-3.882099105435764
NR4A3,0.6333652322145265,3.8203320927338833,2.8094751545619836,0.01718442507484955,0.09661873443737319,-3.8841887622885998
FAM107B,-0.4275398974213801,5.38761481764028,-2.809182517173887,0.017193371442549597,0.09663574679245679,-3.8847025865901124
DGCR2,-0.2971059197548522,7.061853146452206,-2.808140176843442,0.01722527517445912,0.09678173542083364,-3.886532704450566
ADCY2,-0.665569131734623,3.839389823817875,-2.8078710493008123,0.01723352217276865,0.0967947518595767,-3.887005216186573
P2RY13,0.46730213585252944,5.333832851021676,2.8074850366152706,0.017245357820759696,0.09682051920007696,-3.887682933365426
ANKRD13C,-0.20680921873563118,7.853339076834373,-2.807213386254034,0.017253691838360157,0.09682051920007696,-3.888159857864259
CRB2,-0.427373563353933,2.020084290382359,-2.807141251606048,0.01725590554791226,0.09682051920007696,-3.888286500313489
RAB5B,-0.245919587978849,8.433061497464227,-2.805752970571319,0.017298565218212308,0.09699309478642887,-3.8907237269886807
CTSL,0.22092467178456107,11.92916938202788,2.805630065989124,0.01730234695157957,0.09699309478642887,-3.8909394860993096
CD300C,-0.5257635511160899,6.013070657734465,-2.8055604173979236,0.01730449038218851,0.09699309478642887,-3.8910617536398733
ZC3H12C,-0.32175448246398625,7.680620359028715,-2.8037952280790934,0.017358902568410047,0.09726467824290724,-3.894160377489834
MAN2B2,-0.19861302633489455,9.19216185638852,-2.8034192175523445,0.017370515194682825,0.09729634488936618,-3.89482039080698
PHF14,-0.27839392085827125,6.672803838385362,-2.8030828277930637,0.017380910755582634,0.09732117507808567,-3.8954108462993373
S1PR3,-0.5876675507851896,2.9115898928091157,-2.802626819656215,0.017395012840223514,0.09733892990219853,-3.896211247547811
SLCO4C1,-0.5833660626904671,2.0426228381234397,-2.8025946223111147,0.017396008977129833,0.09733892990219853,-3.8962677607001877
METTL17,-0.4084698870941294,5.73213567366725,-2.8002275201547286,0.01746939974370622,0.09771608725729025,-3.9004222573722056
TRUB1,-0.4336057138534557,6.0171329446596875,-2.800014075681061,0.01747603265199227,0.09771970022124626,-3.90079684728772
WDR5,-0.3066058900833463,6.67350964318379,-2.799188824702219,0.01750170145526415,0.09782971614822653,-3.9022451021736657
MGAT5,0.20525138812577076,8.70692747675268,2.7988637457599124,0.01751182311810018,0.09785278224362587,-3.9028155740654737
NLRP3,-0.3840066251051245,7.403117081136727,-2.7974981512464994,0.017554406158569957,0.09805715856268954,-3.9052119073985634
ATF4,0.3080242802844432,9.097311986372311,2.7971333068366824,0.01756580050922676,0.0980872377391718,-3.905852103032226
MIOS,-0.37330499299953596,6.206046194390858,-2.7968866377203008,0.017573508343811346,0.09809671791644622,-3.906284928242357
PSMD10,0.3630504620972195,8.44101626131798,2.796657979885291,0.017580656382945925,0.0981030678572456,-3.9066861442249645
ZDHHC3,-0.2640556312014954,7.0010741272091,-2.796201199084797,0.017594944430926397,0.09814924231086147,-3.9074876226754367
PLEKHM2,0.2825508608312645,8.282562968398695,2.7959813975534247,0.017601823925942645,0.09815407246984484,-3.907873284535704
