gene,genes,logFC,logCPM,F,PValue,FDR
9998,PGPEP1,-0.07251349594821153,4.057087509618549,0.02697050536576299,0.8727890252877174,0.9959325684619698
2321,CDC37,0.035092761280716686,7.151853373213591,0.026970134351295694,0.872789891670843,0.9959325684619698
5916,GTF2H4,0.09773025402958434,2.9735195555874006,0.02687554703373893,0.8730109699766309,0.9959325684619698
8799,NAP1L1,-0.037419300562397076,8.024852938831083,0.026869695617446274,0.8730246595975156,0.9959325684619698
7040,KDM1B,0.06648481449395571,4.018347748312683,0.026766996766500246,0.8732651779100261,0.9959325684619698
9379,NUP153,-0.03659865389324034,7.782842694292759,0.026700381778325524,0.8734214426875206,0.9959325684619698
3123,CRY2,-0.09341611243263473,2.9506575848231833,0.0266154803490935,0.8736208947153643,0.9959325684619698
9344,NUCB1,0.03329925012264153,7.437819933255998,0.026594312841551133,0.8736706727907582,0.9959325684619698
8511,MS4A1,0.09609111028611692,4.924432673703441,0.02650569625715696,0.8738792875745128,0.9959325684619698
4639,FAM3A,0.1148653114159177,2.622617096983262,0.026502255891358458,0.8738873938672329,0.9959325684619698
7613,LOXL1,-0.11197949150063599,2.6835980817231446,0.026433005287116944,0.8740506794932466,0.9959325684619698
6445,IDH2,-0.07336222393713866,4.300495713737217,0.026429284139789826,0.8740594597939273,0.9959325684619698
7963,MAPK6,-0.044265518982239516,8.903175775360648,0.02638488047853968,0.8741642823744367,0.9959325684619698
11102,RAB5C,-0.03867306154134772,7.429094366643093,0.02627551219123684,0.8744228529705893,0.9959325684619698
6492,IFNB1,-0.14107581390810822,6.17241474869019,0.026180359051561953,0.8746482665755473,0.9959325684619698
15988,ZFP418,-0.13483119309221292,2.543697237974593,0.026067455914901134,0.87491627647205406,0.9959325684619698
11794,RPS8,0.05353882210847949,8.294372489203079,0.026063158707659694,0.874926488981127,0.9959325684619698
3106,CRLF2,0.05109076070652084,4.762836227688688,0.02604513004976945,0.8749693443496825,0.9959325684619698
1127,ARID1B,0.039271851499167926,6.765392494009817,0.026016936323617856,0.8750363933842527,0.9959325684619698
16212,ZFP963,-0.19756438763410222,2.3861843133043763,0.025995357053620573,0.8750877374689587,0.9959325684619698
16059,ZFP60,0.106203295725249,2.691728803178198,0.0259804972610558,0.8751231064810314,0.9959325684619698
12123,SEC61G,-0.06480752319814023,4.4029998372598556,0.025977248769120765,0.8751308398688993,0.9959325684619698
10729,PRPF40A,-0.03667451461048352,8.304505589352127,0.025965600624720784,0.8751585736311107,0.9959325684619698
5878,GSR,-0.05046972899781983,8.153911245754232,0.025960117839895776,0.8751716301351684,0.9959325684619698
7371,LAD1,0.07422936550456709,4.216743187461573,0.025938995409999933,0.875221943579201,0.9959325684619698
11035,QRICH1,0.03466835209544881,7.475945468294515,0.025905653494496247,0.8753014066256267,0.9959325684619698
3553,DCTN2,-0.049288578202934794,5.848707536214717,0.025893974913134412,0.8753292523640663,0.9959325684619698
3465,D6WSU163E,0.10831775477622126,3.015439179460388,0.025878366870093816,0.875366477369478,0.9959325684619698
14842,TXNL4B,-0.17763459438084742,2.5215124941516986,0.025791291509757074,0.8755743632904285,0.9959325684619698
14315,TMSB4X,0.040709484072983124,10.683637547387166,0.02575683057811853,0.8756567358410604,0.9959325684619698
15972,ZFP382,-0.08034379258600828,5.137001406303006,0.025696020615329974,0.8758022292532612,0.9959325684619698
8057,MCM4,0.054871172517753565,4.444191531269064,0.025667431257921536,0.8758706930825628,0.9959325684619698
1715,BRD9,0.0431721081021999,5.798117829487419,0.02563239525843936,0.8759546483670158,0.9959325684619698
5179,GALE,0.15191876907852467,2.1653049096655628,0.02558892456440103,0.8760588973971245,0.9959325684619698
1803,C1RB,-0.12171946022220365,3.3376475056820434,0.02558020175507994,0.8760798269226502,0.9959325684619698
10648,PRKCE,-0.06518173776696912,4.141330006501159,0.02554008210414748,0.8761761373627545,0.9959325684619698
12482,SLC12A9,-0.09850031949141029,3.209072357672201,0.025538619553905975,0.8761796498004863,0.9959325684619698
5277,GDF15,-0.14307341174286753,5.983963956398364,0.025486607054702102,0.8763046294888496,0.9959325684619698
6180,HK1,0.038130861314284246,6.974976662225133,0.025316947802171457,0.8767132137426348,0.9959325684619698
9142,NOB1,-0.07180776554542444,3.8336002083763563,0.025306513489846156,0.8767383881850628,0.9959325684619698
6841,ITPR2,0.04443983468341756,6.612988964989673,0.025302733095565202,0.8767475103054084,0.9959325684619698
5090,FURIN,0.05064244272988445,8.247034775073336,0.02525748023421719,0.8768567602214126,0.9959325684619698
6897,KANSL1L,-0.06655090022926412,6.091140956081226,0.025202013786632997,0.8769908051634949,0.9959325684619698
3231,CTNND2,0.1553068840996547,1.4165800517650446,0.02516627222967399,0.8770772615783196,0.9959325684619698
14874,UBAP2L,-0.03457382175075157,8.302930830145838,0.025148683771911526,0.8771198300324303,0.9959325684619698
11645,RNFT1,-0.07144787422827717,4.155719205192366,0.02513545951251249,0.8771518461129473,0.9959325684619698
4870,FGFR1,0.08158777673600273,3.474438719749757,0.025135067080496204,0.8771527963274681,0.9959325684619698
15486,VPS72,-0.04053961548135617,5.8747926486436945,0.025033985067682542,0.8773978054095868,0.9959325684619698
3939,DPH1,0.07290586288336766,3.677314690325524,0.024757131927910146,0.8780714738997821,0.9959325684619698
9750,PCBP4,-0.10905191796126966,2.043439890305523,0.02472224841687393,0.87815663008558,0.9959325684619698
