gene,Control,Control,Control,M2b,M2b,M2b
Tm4sf20,0,0,0,0,0,0
Agfg1,119,843,784,783,631,801
Slc19a3,0,0,0,0,0,0
Ccl20,0,0,0,0,0,0
Daw1,0,0,0,0,0,0
Sphkap,0,0,0,0,0,0
Pid1,703,5515,5054,4178,3961,4656
Mir6353,1,33,28,31,49,43
Dner,17,145,113,89,115,125
Mir5126,0,0,2,0,0,0
Trip12,1014,6281,5739,6489,4812,5165
Fbxo36,6,11,22,20,15,17
Slc16a14,0,1,1,0,2,0
A530032D15Rik,4,26,29,58,10,48
Gm7609,2,7,9,6,4,24
C130026I21Rik,4,26,41,64,13,46
Sp110,129,667,661,797,490,598
Sp140,73,379,315,354,173,247
Sp100,314,1807,1850,1851,1184,1416
A630001G21Rik,31,236,209,217,143,184
Mir8096,0,0,0,0,0,0
9930111H07Rik,0,2,0,0,0,0
Cab39,487,3809,3436,2948,2424,2597
Itm2c,110,1019,955,550,730,844
4933407L21Rik,0,0,0,0,0,0
Gpr55,0,0,0,1,0,0
Spata3,0,0,0,0,0,0
2810459M11Rik,0,1,1,0,0,0
Psmd1,928,3346,3073,4496,2398,2698
Htr2b,29,91,94,97,80,94
Armc9,19,122,96,67,78,65
B3gnt7,3,8,7,3,4,4
Ncl,3743,9809,8673,20343,6998,8324
Snora75,1,18,6,21,28,15
Gm24148,2,3,4,13,10,5
Snord82,55,54,75,156,109,112
C130036L24Rik,1,2,3,5,5,3
Nmur1,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0
Ptma,2722,12755,13228,16819,8833,12142
Pde6d,21,96,86,116,55,90
Cops7b,17,167,130,149,120,132
Nppc,0,0,0,0,0,0
Dis3l2,38,260,233,309,197,204
Alppl2,0,0,0,0,0,0
Alpi,0,0,0,0,0,0
Akp3,0,0,0,0,0,0
Ecel1,0,1,0,1,0,0
Prss56,0,0,0,1,0,0
Chrnd,0,0,0,0,0,0
Chrng,0,0,0,0,0,0
Eif4e2,308,1081,1080,1784,881,993
Efhd1,0,0,0,0,2,0
Gigyf2,285,942,882,1507,692,714
Kcnj13,0,0,0,1,0,0
3110079O15Rik,0,0,0,0,0,0
Ngef,0,1,0,2,0,0
Neu2,0,0,0,0,0,0
Inpp5d,362,3366,2971,2025,2007,2152
Atg16l1,58,385,336,348,291,373
Scarna6,15,46,64,50,25,56
Sag,1,4,7,11,2,11
Dgkd,345,1869,2007,1473,1170,1642
Usp40,57,368,384,339,278,272
Ugt1a10,128,929,813,638,720,822
Ugt1a9,128,929,813,638,720,822
Ugt1a7c,198,1533,1282,1075,1200,1311
Ugt1a6b,132,923,818,646,718,818
Ugt1a6a,131,950,843,648,742,853
Ugt1a5,128,936,816,645,726,827
Ugt1a2,128,930,814,642,721,828
Dnajb3,2,0,5,2,2,1
Ugt1a1,128,929,814,638,720,822
Mroh2a,2,16,23,13,8,10
Hjurp,138,794,1260,623,436,869
6430706D22Rik,87,513,775,385,276,540
A730008H23Rik,121,577,898,502,274,563
Trpm8,0,0,0,0,0,0
Spp2,0,0,0,0,0,0
Glrp1,4,18,26,18,17,20
Gm19589,0,8,1,0,2,1
Arl4c,250,1548,1465,982,936,1057
Platr5,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0
Sh3bp4,8,53,40,33,44,33
C030007H22Rik,0,0,0,0,0,0
Agap1,208,1352,1188,1044,852,927
4933400F21Rik,0,2,0,0,0,0
Gbx2,0,2,4,1,1,0
Asb18,0,0,0,0,0,0
Iqca,0,0,0,0,0,0
Ackr3,0,0,0,0,0,0
Cops8,58,491,429,411,393,467
Col6a3,0,1,2,2,1,0
Mlph,0,0,3,1,0,0
Prlh,0,0,0,0,0,0
Rab17,0,0,0,0,0,0
Lrrfip1,746,2056,2023,4173,1687,1999
Rbm44,2,7,9,3,1,5
Ramp1,4,26,14,15,9,16
Ube2f,74,518,418,563,408,467
Scly,22,177,175,154,157,186
Espnl,0,0,2,0,1,0
Klhl30,0,0,0,0,0,0
Fam132b,0,0,1,2,0,2
Ilkap,78,518,405,670,271,362
1700020N18Rik,0,0,0,0,0,0
Hes6,10,78,61,60,43,56
Per2,3,48,38,74,65,38
Traf3ip1,24,103,85,166,79,86
Asb1,10,92,81,96,92,104
Twist2,0,0,0,0,0,0
Hdac4,55,401,384,349,270,316
Ndufa10,154,918,804,961,581,774
Mir6900,0,1,0,4,4,1
Olfr1416,0,0,0,0,0,0
Olfr1415,0,0,0,0,0,0
Olfr1414,0,0,0,0,0,0
Olfr1413,0,0,0,0,0,0
Olfr1412,0,0,0,0,0,0
Olfr1411,0,0,0,0,0,0
Olfr1410,0,0,0,0,0,0
Olfr12,0,0,0,0,0,0
Myeov2,28,250,254,423,223,316
Otos,0,0,0,0,0,0
Gpc1,21,145,104,119,113,101
Mir149,0,0,0,0,0,0
Ankmy1,1,1,1,1,1,1
Dusp28,1,16,8,4,3,17
Rnpepl1,49,430,389,240,249,290
9430060I03Rik,0,1,5,0,0,1
Capn10,11,68,48,46,48,37
Gpr35,8,76,84,70,49,85
Aqp12,1,0,0,0,0,0
Kif1a,0,0,2,0,0,0
Agxt,0,0,0,0,0,0
2310007B03Rik,0,0,0,0,0,0
Sned1,0,0,1,2,2,1
Mir6901,0,0,0,0,0,0
Mterf4,39,279,233,220,159,185
Pask,3,55,103,29,52,83
Ppp1r7,147,844,720,891,638,717
Mir6902,1,3,4,6,9,1
Mir6345,0,0,0,0,0,0
Ano7,1,1,0,0,1,0
Hdlbp,463,3482,3218,3483,2043,2735
Sept2,811,4872,4686,4222,3171,3674
Farp2,20,93,95,77,118,91
Stk25,50,363,312,317,204,252
Bok,0,4,3,4,1,5
Thap4,20,207,202,177,170,219
Atg4b,37,238,256,194,164,194
Dtymk,9,121,103,82,81,118
Ing5,59,382,350,390,278,373
D2hgdh,26,87,96,46,83,44
Gal3st2,0,0,0,0,0,0
Gm9994,0,1,0,0,0,0
Gm6086,0,0,0,0,0,0
Neu4,0,0,0,0,0,0
Pdcd1,0,0,1,0,0,0
4930440C22Rik,0,0,0,0,0,0
Fam174a,43,204,147,268,77,125
St8sia4,223,1517,1196,723,629,658
4930598F16Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
4930533P14Rik,0,0,0,0,0,0
Slco4c1,0,0,0,0,0,0
Panct2,0,0,0,0,0,0
Slco6b1,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0
D1Ertd622e,146,1044,957,834,657,720
Ppip5k2,177,1005,942,978,686,798
Gin1,22,84,92,104,34,64
Pam,266,2131,1705,1515,1539,1570
B230216N24Rik,2,6,5,19,11,13
1810006J02Rik,0,0,1,1,0,1
Slco6d1,0,0,0,0,0,0
Cntnap5b,0,0,0,0,0,0
Gm20268,0,0,0,0,0,0
Cdh20,0,0,0,0,0,0
Rnf152,1,8,5,1,4,3
Pign,87,551,585,391,394,491
2310035C23Rik,64,623,528,484,461,478
Tnfrsf11a,645,5281,4050,4208,3768,3601
Zcchc2,136,782,797,757,628,713
Gm20753,1,0,0,0,0,0
Phlpp1,45,291,256,175,176,163
Bcl2,30,168,141,137,92,124
Mir3473f,0,0,0,0,0,0
Kdsr,50,242,240,150,151,148
Vps4b,367,2957,2610,2131,2086,2038
Serpinb5,0,0,0,0,0,1
Serpinb12,0,1,4,3,0,4
Serpinb13,0,0,0,0,0,0
Serpinb3a,0,0,0,0,0,0
Serpinb3d,0,0,0,0,0,0
Serpinb3b,0,0,0,0,0,0
Serpinb3c,0,0,0,0,0,0
Serpinb11,0,0,0,0,0,0
Serpinb7,0,0,0,0,0,0
Serpinb2,1,0,0,0,1,1
Serpinb10,0,0,1,0,0,1
Serpinb8,40,390,279,340,320,301
D830032E09Rik,0,0,0,0,0,0
Cdh7,0,0,0,0,0,0
Cdh19,0,0,0,0,0,0
Dsel,30,183,194,154,163,137
Cntnap5a,0,0,0,0,0,0
Tsn,124,653,614,480,514,552
Nifk,154,731,683,1105,617,703
Clasp1,133,887,1030,817,674,868
2900060B14Rik,3,4,5,13,2,5
Tfcp2l1,0,2,4,3,0,6
Gli2,0,0,0,0,0,0
Mir6346,0,0,0,0,0,0
Inhbb,0,1,0,0,0,0
Ralb,193,1142,1054,1123,904,1012
Tmem185b,23,174,171,197,188,229
3830432H09Rik,0,0,0,0,0,0
Epb4.1l5,1,12,18,9,9,13
Ptpn4,79,480,457,469,377,409
Tmem177,3,41,37,41,37,32
Cfap221,0,0,0,0,0,0
Sctr,0,0,0,0,0,1
Tmem37,9,62,46,33,23,21
Dbi,150,742,604,806,326,484
3110009E18Rik,0,7,13,8,10,14
Steap3,63,682,685,448,476,558
C1ql2,0,0,0,0,0,0
Marco,2,5,3,5,2,2
En1,0,0,0,0,0,0
Celrr,0,0,0,0,0,0
Insig2,32,317,264,202,192,208
Ccdc93,120,721,634,773,489,583
Htr5b,0,0,0,0,0,0
Ddx18,84,539,465,500,471,525
Dpp10,0,0,0,0,1,0
Actr3,2849,22149,18454,20856,14893,17078
Slc35f5,59,410,349,292,252,257
Gpr39,0,0,0,0,2,0
Lypd1,0,0,0,0,0,0
Nckap5,0,0,0,0,0,0
Mgat5,129,804,708,771,546,556
Tmem163,7,116,100,87,64,82
Acmsd,0,0,0,0,0,0
2900009J06Rik,0,0,0,0,0,0
Ccnt2,64,340,341,340,286,275
Map3k19,0,0,1,0,2,1
Rab3gap1,191,1267,1080,1262,745,871
Zranb3,58,439,457,458,265,359
R3hdm1,214,1316,1083,1445,830,920
Mir128-1,0,1,0,0,0,0
Ubxn4,584,2812,2460,3528,1695,2078
Lct,0,5,1,1,4,7
Mcm6,377,2155,2393,1782,1308,2073
Dars,327,1778,1555,1651,1183,1244
Cxcr4,83,743,448,215,236,208
